Timestamp,Motor_ID,Current_Amp,Voltage_V,Motor_RPM,Vibration_mm_s,Winding_Temp_C,Bearing_Temp_C,Coolant_Pressure_Bar,Ambient_Humidity_Pct
2023-10-01 08:00:00,ROT-MILL-05,86.26,415.5,1463.4,4.858,65.97,60.43,4.1,74.1
2023-10-01 08:00:01,ROT-MILL-05,86.08,414.8,1465.1,4.886,66.91,60.85,3.84,71.3
2023-10-01 08:00:02,ROT-MILL-05,85.62,412.5,1473.6,4.173,67.95,61.3,3.96,83.0
2023-10-01 08:00:03,ROT-MILL-05,82.95,418.9,1460.0,5.16,68.96,61.78,3.91,67.5
2023-10-01 08:00:04,ROT-MILL-05,84.69,414.7,1458.7,4.451,69.66,62.18,4.01,88.3
2023-10-01 08:00:05,ROT-MILL-05,83.16,411.4,1464.3,5.553,70.46,62.6,4.1,78.2
2023-10-01 08:00:06,ROT-MILL-05,85.23,416.6,1472.4,5.076,71.23,62.87,4.01,71.4
2023-10-01 08:00:07,ROT-MILL-05,84.64,415.4,1464.5,4.217,72.01,63.28,4.24,75.7
2023-10-01 08:00:08,ROT-MILL-05,83.88,418.9,1470.4,4.724,72.64,63.63,3.93,71.1
2023-10-01 08:00:09,ROT-MILL-05,87.79,416.8,1464.6,3.744,73.31,64.0,4.1,71.1
2023-10-01 08:00:10,ROT-MILL-05,86.42,415.0,1466.1,4.265,73.98,64.33,4.18,67.0
2023-10-01 08:00:11,ROT-MILL-05,90.25,413.7,1472.8,4.803,74.47,64.62,3.92,72.8
2023-10-01 08:00:12,ROT-MILL-05,86.12,413.6,1464.3,4.209,75.13,64.83,4.06,77.3
2023-10-01 08:00:13,ROT-MILL-05,87.2,419.1,1456.2,5.572,75.58,65.17,3.91,72.9
2023-10-01 08:00:14,ROT-MILL-05,87.47,413.4,1462.2,4.577,76.0,65.44,4.1,71.6
2023-10-01 08:00:15,ROT-MILL-05,84.17,414.8,1461.1,5.732,76.45,65.76,3.94,76.5
2023-10-01 08:00:16,ROT-MILL-05,83.3,411.2,1466.9,4.604,76.83,66.13,4.08,77.9
2023-10-01 08:00:17,ROT-MILL-05,83.9,420.5,1462.7,9.317,77.28,66.38,3.97,80.4
2023-10-01 08:00:18,ROT-MILL-05,85.55,415.0,1465.8,4.207,77.6,66.69,4.03,80.9
2023-10-01 08:00:19,ROT-MILL-05,84.98,416.1,1457.9,4.168,77.9,66.96,4.11,75.6
2023-10-01 08:00:20,ROT-MILL-05,81.13,418.5,1467.5,4.439,78.19,67.17,4.1,80.4
2023-10-01 08:00:21,ROT-MILL-05,82.39,419.5,1471.6,4.376,78.66,67.41,3.95,77.6
2023-10-01 08:00:22,ROT-MILL-05,86.56,414.6,1473.4,4.776,78.99,67.63,3.86,73.2
2023-10-01 08:00:23,ROT-MILL-05,86.74,413.9,1469.2,5.124,79.34,67.78,3.96,80.7
